url,title,body,has_marcos,has_sara,pub_year
https://www.rappler.com/philippines/elections/marcos-jr-massive-overseas-filipinos-backing-2022/,Why Marcos Jr. gets massive OFW backing despite father’s labor export policy,,True,False,2022
https://www.rappler.com/philippines/marcos-death-filipino-serviceman-foreign-attack-triggers-mutual-defense-treaty-united-states/,Marcos: Death of PH serviceman from foreign attack triggers defense treaty with US,,True,False,2024
https://www.rappler.com/philippines/video-marcos-jr-independence-day-ceremony-2024/,WATCH: Marcos leads 2024 Philippine Independence Day rites in Manila,,True,False,2024
https://www.rappler.com/philippines/marcos-says-government-eyes-shift-old-academic-calendar-2025/,Marcos says gov’t eyeing shift to old academic calendar in 2025,,True,False,2024
https://www.rappler.com/philippines/marcos-administration-proposal-confidential-intelligence-funds-op-ovp-deped-2024/,"Marcos admin wants P10.1 billion in confidential, intel funds for 2024",,True,False,2023
https://www.rappler.com/newsbreak/iq/143592-ferdinand-marcos-world-war-ii-medals-explained/,What’s the issue with Marcos’ World War II ‘medals’ again?,,True,False,2016
https://www.rappler.com/philippines/marcos-government-return-icc-under-study/,Marcos says Philippines’ return to ICC ‘under study’,,True,False,2023
https://www.rappler.com/business/marcos-jeepney-consolidation-deadline-april-30-2024-final/,Marcos: Jeepney consolidation deadline on April 30 is final,,True,False,2024
https://www.rappler.com/philippines/marcos-jr-jeepney-modernization-implemented-different-way/,Marcos: Jeepney modernization needs to be implemented ‘in a different way’,,True,False,2023
https://www.rappler.com/philippines/marcos-jr-lifts-price-ceiling-rice/,Marcos lifts price cap on rice,,True,False,2023
https://www.rappler.com/philippines/video-goodbye-uniteam-sara-duterte-resigns-marcos-cabinet/,"Goodbye, Uniteam: VP Sara Duterte resigns from the Marcos Cabinet",,True,True,2024
https://www.rappler.com/philippines/elections/ferdinand-marcos-jr-benefited-facebook-disinformation-study/,Marcos Jr. benefited from Facebook – study,,True,False,2022
